L (GM/ID=W/ID (GM/ID=20)),W/ID,
2.78e-06,13.63367244640829,
2.8e-06,13.727867365660794,
2.82e-06,13.822070416134006,
2.84e-06,13.91628153963676,
2.86e-06,14.010500677650878,
2.88e-06,14.104727771385013,
2.9e-06,14.19896276182745,
2.92e-06,14.293205589793812,
2.94e-06,14.38745619597281,
2.96e-06,14.481714520969026,
2.98e-06,14.575980505342038,
3e-06,14.670254089645185,
3.02e-06,14.764535214458117,
3.04e-06,14.858823820421561,
3.06e-06,14.953119848266356,
3.08e-06,15.047423238843194,
3.1e-06,15.141733933147721,
3.12e-06,15.236051872346222,
3.14e-06,15.330376997798501,
3.16e-06,15.424709251079133,
3.18e-06,15.519048573997997,
3.2e-06,15.613394908618432,
3.22e-06,15.707748197273558,
3.24e-06,15.802108382585011,
3.26e-06,15.896475407474185,
3.28e-06,15.990849215178866,
3.3e-06,16.085229749264098,
3.32e-06,16.179616953634426,
3.34e-06,16.27401077254494,
3.36e-06,16.36841115061086,
3.38e-06,16.462818032815083,
3.4e-06,16.557231364519364,
3.42e-06,16.65165109146936,
3.44e-06,16.746077159802056,
3.46e-06,16.84050951605194,
3.48e-06,16.93494810715722,
3.5e-06,17.029392880463224,
3.52e-06,17.123843783727512,
3.54e-06,17.218300765125004,
3.56e-06,17.312763773248594,
3.58e-06,17.407232757114837,
3.6e-06,17.50170766616426,
3.62e-06,17.596188450264712,
3.64e-06,17.690675059712778,
3.66e-06,17.78516744523465,
3.68e-06,17.8796655579879,
3.7e-06,17.974169349561585,
3.72e-06,18.068678771975968,
3.74e-06,18.163193777684416,
3.76e-06,18.257714319571363,
3.78e-06,18.352240350953164,
3.8e-06,18.446771825577162,
3.82e-06,18.541308697620018,
3.84e-06,18.635850921687304,
3.86e-06,18.730398452812743,
3.88e-06,18.824951246456074,
3.9e-06,18.919509258500955,
3.92e-06,19.01407244525491,
3.94e-06,19.108640763445457,
3.96e-06,19.203214170219354,
3.98e-06,19.297792623139966,
4e-06,19.392376080185752,
4.02e-06,19.48696449974613,
4.04e-06,19.58155784062088,
4.06e-06,19.676156062016947,
4.08e-06,19.770759123544753,
4.1e-06,19.865366985217204,
4.12e-06,19.959979607445945,
4.14e-06,20.054596951037663,
4.16e-06,20.149218977193804,
4.18e-06,20.24384564750389,
4.2e-06,20.338476923945787,
4.22e-06,20.433112768881255,
4.24e-06,20.527753145051822,
4.26e-06,20.622398015577886,
4.28e-06,20.717047343953812,
4.3e-06,20.811701094044835,
4.32e-06,20.90635923008461,
4.34e-06,21.001021716672014,
4.36e-06,21.095688518766522,
4.38e-06,21.190359601686204,
4.4e-06,21.285034931104704,
4.42e-06,21.379714473045308,
4.44e-06,21.47439819388214,
4.46e-06,21.569086060331987,
4.48e-06,21.663778039454556,
4.5e-06,21.758474098647593,
4.52e-06,21.853174205643356,
4.54e-06,21.947878328506413,
4.56e-06,22.04258643562947,
4.58e-06,22.137298495729258,
4.6e-06,22.232014477845894,
4.62e-06,22.32673435133682,
4.64e-06,22.421458085875063,
4.66e-06,22.51618565144511,
4.68e-06,22.610917018341283,
4.7e-06,22.70565215716125,
4.72e-06,22.80039103880656,
4.74e-06,22.895133634477283,
4.76e-06,22.989879915669867,
4.78e-06,23.084629854171943,
4.8e-06,23.179383422061587,
4.82e-06,23.274140591703905,
4.84e-06,23.36890133574652,
4.86e-06,23.46366562711709,
4.88e-06,23.5584334390205,
4.9e-06,23.653204744936374,
4.92e-06,23.747979518614407,
4.94e-06,23.842757734073512,
4.96e-06,23.937539365596983,
4.98e-06,24.032324387730654,
5e-06,24.127112775279684,
